placeId,address,category,phone,latitude,longitude,status,type,googleUrl,storeName,ratingText,stars,numberOfReviews,websites,coldCallProbabilityWeight
JfXTEXXv9DDkRrs2S_6iix58," Marina Arcade, G-7, Connaught Cir, Connaught Place, Delhi, 110001",Pharmaceuticals Exporter, 095605 43133,28.6339241,77.2170869,Available,NA,https://www.google.com/maps/place/METRO+CITY+PHARMACY/data=!4m7!3m6!1s0x390cfd7b5dc4747d:0x9fc7a2a8ff92cdae!8m2!3d28.6339241!4d77.2170869!16s%2Fg%2F11h8yfj32z!19sChIJfXTEXXv9DDkRrs2S_6iix58?authuser=0&hl=en&rclk=1,METRO CITY PHARMACY,4.1 stars 31 Reviews,4.1,31,"[""NA""]",100.00%
J3w2BVEj9DDkRfWNOZEiDkdw," Block G, Connaught Place, New Delhi, Delhi 110001",PharmacyCloses soon ⋅ 11 pm ⋅ Opens 7 am Tue, 080 4101 8123,28.6339233,77.217019,Available,In-store shopping,https://www.google.com/maps/place/Apollo+Pharmacy+-+Connaught+Place/data=!4m7!3m6!1s0x390cfd4854810ddf:0xdc918348644e637d!8m2!3d28.6339233!4d77.217019!16s%2Fg%2F124yb7n0b!19sChIJ3w2BVEj9DDkRfWNOZEiDkdw?authuser=0&hl=en&rclk=1,Apollo Pharmacy - Connaught Place,3.8 stars 228 Reviews,3.8,228,"[""https://www.apollopharmacy.in/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-apollo-pharmacy""]",100.00%
Jj3JGgE_9DDkRXNopftg8nfQ," P. No. 121, GF, S. No. 88, opp. Hardinge Medical College, Sector 3, DIZ Area, Gole Market, New Delhi, Delhi 110001",Pharmacy, 080 4101 8138,28.6338301,77.2086662,Available,In-store shopping,https://www.google.com/maps/place/Apollo+Pharmacy+Diz+Staff+Quarters/data=!4m7!3m6!1s0x390cfd4f8046728f:0xf49d3cd87e29da5c!8m2!3d28.6338301!4d77.2086662!16s%2Fg%2F12q4qh3y8!19sChIJj3JGgE_9DDkRXNopftg8nfQ?authuser=0&hl=en&rclk=1,Apollo Pharmacy Diz Staff Quarters,3.7 stars 62 Reviews,3.7,62,"[""https://www.apollopharmacy.in/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-apollo-pharmacy""]",100.00%
JseFYYwD9DDkRmCRZpd-PwWQ," 42, Bhagat Singh Market, Gole Market, New Delhi, Delhi 110001",Pharmacy, 074284 14710,28.6334813,77.207838,Available,Delivery,https://www.google.com/maps/place/SABD+PHARMACY/data=!4m7!3m6!1s0x390cfd006358e1b1:0x64c18fdfa5592498!8m2!3d28.6334813!4d77.207838!16s%2Fg%2F11ldxrhs5p!19sChIJseFYYwD9DDkRmCRZpd-PwWQ?authuser=0&hl=en&rclk=1,SABD PHARMACY,4.4 stars 13 Reviews,4.4,13,"[""NA""]",88.77%
JDRRjiDv9DDkRoUZdcnTsh38," Shop No 19, MCD Parking Complex, opposite GOVIND BALLABH PANT HOSPITAL, 64 Khamba, New Delhi, Delhi, 110002",Pharmacy, 098117 31473,28.6383186,77.2351267,Available,In-store shopping,https://www.google.com/maps/place/Zedson+Pharmacy/data=!4m7!3m6!1s0x390cfd3b8863140d:0x7f87ec74725d46a1!8m2!3d28.6383186!4d77.2351267!16s%2Fg%2F11n_y6xmkt!19sChIJDRRjiDv9DDkRoUZdcnTsh38?authuser=0&hl=en&rclk=1,Zedson Pharmacy,5.0 stars 27 Reviews,5,27,"[""http://www.zedsonpharmacy.com/""]",100.00%
JL3uTqVb9DDkRkHv6QgjcO40," Shop No 21, Gate No 6, Old Ramakrishna Ashram Marg, behind RML Hospital, North Block, Gole Market, New Delhi, Delhi 110001",Pharmacy, 011 2374 1627,28.6276988,77.1998572,Available,In-store shopping,https://www.google.com/maps/place/Rajkamal+Chemists/data=!4m7!3m6!1s0x390cfd56a9937b2f:0x8d3bdc0842fa7b90!8m2!3d28.6276988!4d77.1998572!16s%2Fg%2F11b8tx8d6x!19sChIJL3uTqVb9DDkRkHv6QgjcO40?authuser=0&hl=en&rclk=1,Rajkamal Chemists,3.8 stars 29 Reviews,3.8,29,"[""NA""]",98.80%
JRXVtJ9LiDDkRG2mLrCRfXRE," Chamber No 2, Bhagwan Das Rd, Government Officers Colony, India Gate, New Delhi, Delhi 110001",Pharmacy, 011 2338 8582,28.6196267,77.2396966,Available,In-store shopping,https://www.google.com/maps/place/Apollo+Pharmacy+Bhagwan+Das+Road/data=!4m7!3m6!1s0x390ce2d2276d7545:0x115d5f24ac8b691b!8m2!3d28.6196267!4d77.2396966!16s%2Fg%2F11cm0dvf3j!19sChIJRXVtJ9LiDDkRG2mLrCRfXRE?authuser=0&hl=en&rclk=1,Apollo Pharmacy Bhagwan Das Road,3.2 stars 35 Reviews,3.2,35,"[""https://www.apollopharmacy.in/?utm_source=locator&utm_medium=googleplaces""]",80.92%
JL7eO7VP9DDkRv-2hd2TbWBM," J6G2+GCJ, RML Hospital Campus, near Blood Bank Building, Ram Manohar Lohia Hospital, Type III, President's Estate, New Delhi, Delhi 110001",Pharmacy, 098683 91308,28.626339,77.2010114,Available,NA,https://www.google.com/maps/place/Amrit+Pharmacy/data=!4m7!3m6!1s0x390cfd53ed8eb72f:0x1358db6477a1edbf!8m2!3d28.626339!4d77.2010114!16s%2Fg%2F11d_88t499!19sChIJL7eO7VP9DDkRv-2hd2TbWBM?authuser=0&hl=en&rclk=1,Amrit Pharmacy,2.7 stars 28 Reviews,2.7,28,"[""NA""]",69.50%
JcRt8HEj9DDkRLqZLs82Xhew," Shop No. 2G Ground Floor Marine Arcade Rajiv chowk metro station Gate no 1, Block G, Connaught Place, New Delhi, Delhi 110001",Pharmacy, 098994 41605,28.6338409,77.2174297,Available,In-store pick-up,https://www.google.com/maps/place/Nath+Brothers/data=!4m7!3m6!1s0x390cfd481c7c1b71:0xec8597cdb34ba62e!8m2!3d28.6338409!4d77.2174297!16s%2Fg%2F1tdb76dp!19sChIJcRt8HEj9DDkRLqZLs82Xhew?authuser=0&hl=en&rclk=1,Nath Brothers,3.6 stars 347 Reviews,3.6,347,"[""NA""]",100.00%
JS99ihc39DDkRc-xrtGsDqfE," 4605, Main Bazar Rd, Bagichi Ramchander, Kaseru Walan, Paharganj, New Delhi, Delhi 110055",Pharmacy, 011 4285 1717,28.6413525,77.2152356,Available,Delivery,https://www.google.com/maps/place/Right+Aid+medicos/data=!4m7!3m6!1s0x390cfdcd8562df4b:0xf1a9036bb46bec73!8m2!3d28.6413525!4d77.2152356!16s%2Fg%2F11jp08pds5!19sChIJS99ihc39DDkRc-xrtGsDqfE?authuser=0&hl=en&rclk=1,Right Aid medicos,5.0 stars 26 Reviews,5,26,"[""NA""]",100.00%
